Datetime;Object;Value
2022-05-04 00:00:00;50889;604,33
2022-05-05 00:00:00;50889;-95,38
2022-05-06 00:00:00;50889;-31,147
2022-05-07 00:00:00;50889;-1026,662
2022-05-08 00:00:00;50889;1262,084
2022-05-09 00:00:00;50889;-369,59
2022-05-10 00:00:00;50889;39,837
2022-05-11 00:00:00;50889;232,775
2022-05-12 00:00:00;50889;913,381
2022-05-13 00:00:00;50889;-447,822
2022-05-14 00:00:00;50889;-457,578
2022-05-15 00:00:00;50889;332,645
2022-05-16 00:00:00;50889;-703,995
2022-05-17 00:00:00;50889;-865,062
2022-05-18 00:00:00;50889;357,778
2022-05-19 00:00:00;50889;-337,846
2022-05-20 00:00:00;50889;-623,74
2022-05-21 00:00:00;50889;-7,844
2022-05-22 00:00:00;50889;-364,675
2022-05-23 00:00:00;50889;-1938,022
2022-05-24 00:00:00;50889;-2931,101
2022-05-25 00:00:00;50889;-2807,447
2022-05-26 00:00:00;50889;-7395,771
2022-05-27 00:00:00;50889;-269,778
2022-05-28 00:00:00;50889;-402,859
2022-05-29 00:00:00;50889;-1425,409
2022-05-30 00:00:00;50889;-493,264
2022-05-31 00:00:00;50889;-3038,933
2022-06-01 00:00:00;50889;-1173,654
2022-06-02 00:00:00;50889;78,715
2022-06-03 00:00:00;50889;-2403,451
2022-06-04 00:00:00;50889;-284,732
2022-06-05 00:00:00;50889;-1460,672
2022-06-06 00:00:00;50889;316,466
2022-06-07 00:00:00;50889;-1668,161
2022-06-08 00:00:00;50889;3862,509
2022-06-09 00:00:00;50889;-2660,555
2022-06-10 00:00:00;50889;-1121,648
2022-06-11 00:00:00;50889;-351,252
2022-06-12 00:00:00;50889;-87,343
2022-06-13 00:00:00;50889;-976,892
2022-06-14 00:00:00;50889;-1509,683
2022-06-15 00:00:00;50889;-1655,169
2022-06-16 00:00:00;50889;-1723,103
2022-06-17 00:00:00;50889;-3316,812
2022-06-18 00:00:00;50889;-2741,579
2022-06-19 00:00:00;50889;-1640,047
2022-06-20 00:00:00;50889;187,432
2022-06-21 00:00:00;50889;-2205,464
2022-06-22 00:00:00;50889;-816,037
2022-06-23 00:00:00;50889;-228,166
2022-06-24 00:00:00;50889;1048,316
2022-06-25 00:00:00;50889;-297,726
2022-06-26 00:00:00;50889;-1042,494
2022-06-27 00:00:00;50889;-1480,359
2022-06-28 00:00:00;50889;-322,547
2022-06-29 00:00:00;50889;-1730,25
2022-06-30 00:00:00;50889;309,613
2022-07-01 00:00:00;50889;3206,1
2022-07-02 00:00:00;50889;-1652,606
2022-07-03 00:00:00;50889;990,835
2022-07-04 00:00:00;50889;-827,758
2022-07-05 00:00:00;50889;1695,272
2022-07-06 00:00:00;50889;879,594
2022-07-07 00:00:00;50889;-1225,327
2022-07-08 00:00:00;50889;-1035,818
2022-07-09 00:00:00;50889;-470,069
2022-07-10 00:00:00;50889;-361,526
2022-07-11 00:00:00;50889;342,991
2022-07-12 00:00:00;50889;-2816,758
2022-07-13 00:00:00;50889;-2338,199
2022-07-14 00:00:00;50889;-417,848
2022-07-15 00:00:00;50889;-304,368
2022-07-16 00:00:00;50889;-544,63
2022-07-17 00:00:00;50889;510,733
2022-07-18 00:00:00;50889;-674,222
2022-07-19 00:00:00;50889;-583,813
2022-07-20 00:00:00;50889;404,611
2022-07-21 00:00:00;50889;595,218
2022-07-22 00:00:00;50889;-441,898
2022-07-23 00:00:00;50889;-119,972
2022-07-24 00:00:00;50889;-364,422
2022-07-25 00:00:00;50889;512,224
2022-07-26 00:00:00;50889;-1853,522
2022-07-27 00:00:00;50889;619,922
2022-07-28 00:00:00;50889;-1490,272
2022-07-29 00:00:00;50889;-4329,086
2022-07-30 00:00:00;50889;-1122,024
2022-07-31 00:00:00;50889;215,255
2022-08-01 00:00:00;50889;-1930,769
2022-08-02 00:00:00;50889;-1729,233
2022-08-03 00:00:00;50889;-916,92
2022-08-04 00:00:00;50889;881,205
2022-08-05 00:00:00;50889;-1993,266
2022-08-06 00:00:00;50889;-1098,1
2022-08-07 00:00:00;50889;-1435,425
2022-08-08 00:00:00;50889;-2102,703
2022-08-09 00:00:00;50889;-1065,149
2022-08-10 00:00:00;50889;-1325,638
2022-08-11 00:00:00;50889;490,873
2022-08-12 00:00:00;50889;490,624
2022-08-13 00:00:00;50889;-1343,793
2022-08-14 00:00:00;50889;-1475,743
2022-08-15 00:00:00;50889;-523,244
2022-08-16 00:00:00;50889;-545,181
2022-08-17 00:00:00;50889;-1503,437
2022-08-18 00:00:00;50889;-810,023
2022-08-19 00:00:00;50889;-1137,278
2022-08-20 00:00:00;50889;-1185,792
2022-08-21 00:00:00;50889;-328,035
2022-08-22 00:00:00;50889;-556,682
2022-08-23 00:00:00;50889;-1326,216
2022-08-24 00:00:00;50889;912,159
2022-08-25 00:00:00;50889;-355,776
2022-08-26 00:00:00;50889;-555,293
2022-08-27 00:00:00;50889;-1558,687
2022-08-28 00:00:00;50889;-1379,035
2022-08-29 00:00:00;50889;-2928,167
2022-08-30 00:00:00;50889;-1859,819
2022-08-31 00:00:00;50889;-2195,521
2022-09-01 00:00:00;50889;-3728,482
2022-09-02 00:00:00;50889;-286,292
2022-09-03 00:00:00;50889;-402,912
2022-09-04 00:00:00;50889;-311,067
2022-09-05 00:00:00;50889;596,526
2022-09-06 00:00:00;50889;-2905,542
2022-09-07 00:00:00;50889;-302,567
2022-09-08 00:00:00;50889;1589,257
2022-09-09 00:00:00;50889;-649,022
2022-09-10 00:00:00;50889;-1749,546
2022-09-11 00:00:00;50889;-205,506
2022-09-12 00:00:00;50889;-1607,078
2022-09-13 00:00:00;50889;-840,962
2022-09-14 00:00:00;50889;-1764,925
2022-09-15 00:00:00;50889;-2200,209
2022-09-16 00:00:00;50889;-1389,693
2022-09-17 00:00:00;50889;-546,111
2022-09-18 00:00:00;50889;-2041,904
2022-09-19 00:00:00;50889;4037,887
2022-09-20 00:00:00;50889;1372,29
2022-09-21 00:00:00;50889;-395,962
2022-09-22 00:00:00;50889;-1563,774
2022-09-23 00:00:00;50889;-1377,574
2022-09-24 00:00:00;50889;-853,366
2022-09-25 00:00:00;50889;574,249
2022-09-26 00:00:00;50889;-1237,363
2022-09-27 00:00:00;50889;-1113,607
2022-09-28 00:00:00;50889;-533,834
2022-09-29 00:00:00;50889;-2250,634
2022-09-30 00:00:00;50889;2209,887
2022-10-01 00:00:00;50889;-1123,778
2022-10-02 00:00:00;50889;-116,359
2022-10-03 00:00:00;50889;-1647,876
2022-10-04 00:00:00;50889;-2113,351
2022-10-05 00:00:00;50889;170,443
2022-10-06 00:00:00;50889;166,502
2022-10-07 00:00:00;50889;798,431
2022-10-08 00:00:00;50889;-2143,53
2022-10-09 00:00:00;50889;-554,549
2022-10-10 00:00:00;50889;62,464
2022-10-11 00:00:00;50889;-674,316
2022-10-12 00:00:00;50889;529,94
2022-10-13 00:00:00;50889;1433,97
2022-10-14 00:00:00;50889;-1399,044
2022-10-15 00:00:00;50889;-6,361
2022-10-16 00:00:00;50889;-1015,595
2022-10-17 00:00:00;50889;-1737,454
2022-10-18 00:00:00;50889;-580,591
2022-10-19 00:00:00;50889;-229,414
2022-10-20 00:00:00;50889;-606,228
2022-10-21 00:00:00;50889;-950,716
2022-10-22 00:00:00;50889;-781,861
2022-10-23 00:00:00;50889;-1313,885
2022-10-24 00:00:00;50889;-1225,501
