elem_id;set_dt;remark;mode;limit_press
9657;2022-07-07 23:06:00.000;Распоряжение ПДС;2;NULL
9557;2022-07-12 11:00:00.000;подача газа на УТГ;2;NULL
9657;2022-07-12 11:00:00.000;подача газа на УТГ;0;NULL
9663;2022-07-12 11:00:00.000;подача газа на УТГ;0;NULL
9557;2022-07-12 11:45:00.000;подача газа на УТГ;0;NULL
9657;2022-07-12 11:46:00.000;подача газа на УТГ;0;NULL
9663;2022-07-12 11:46:00.000;подача газа на УТГ;0;NULL
6020;2022-07-12 14:26:00.000;56-82 в ремонт;2;NULL
6619;2022-07-12 14:27:00.000;56-82 в ремонт;2;NULL
6667;2022-07-12 14:29:00.000;56-82;2;NULL
6670;2022-07-12 14:29:00.000;56-82 ремонт;2;NULL
6634;2022-07-12 14:30:00.000;56-82 ремонт;1;NULL
6634;2022-07-12 20:38:00.000;Выведен в ремонт;1;NULL
9557;2022-07-12 21:31:00.000;распоряжение ПДС;2;NULL
9657;2022-07-12 21:32:00.000;распоряжение ПДС;2;NULL
9704;2022-07-12 21:32:00.000;распоряжение ПДС;2;NULL
9698;2022-07-12 21:33:00.000;распоряжение ПДС;2;NULL
9663;2022-07-12 21:34:00.000;распоряжение ПДС;2;NULL
18394;2022-07-15 13:08:00.000;Вывод участка из ремонта;0;NULL
18403;2022-07-15 13:08:00.000;Вывод участка из ремонта;0;NULL
18411;2022-07-15 13:08:00.000;Вывод участка из ремонта;0;NULL
18412;2022-07-15 13:08:00.000;Вывод участка из ремонта;0;NULL
11385;2022-07-15 13:10:00.000;Вывод участка из ремонта;0;NULL
18387;2022-07-15 13:10:00.000;Вывод участка из ремонта;0;NULL
8423;2022-07-15 13:15:00.000;Сработка через ГРС Карталы;1;36.30
36098;2022-07-15 13:20:00.000;Распоряжение ПДС;0;NULL
8484;2022-07-15 13:21:00.000;Распоряжение ПДС;0;NULL
32105;2022-07-15 13:21:00.000;Распоряжение ПДС
;0;NULL
8487;2022-07-15 13:22:00.000;Распоряжение ПДС;0;NULL
6020;2022-07-24 09:37:00.000;rjytw htvjynf;0;NULL
6619;2022-07-24 09:38:00.000;Конец ремонта 56-82км;0;NULL
6634;2022-07-24 09:39:00.000;конец ремонта 56-82;0;NULL
6667;2022-07-24 09:39:00.000;конец ремонта 56-82;2;NULL
6667;2022-07-24 09:40:00.000;конец ремонта 56-82;0;NULL
6670;2022-07-24 09:40:00.000;конец ремонта 56-82;0;NULL
18364;2022-07-25 05:45:00.000;Ремонт у-ка.;1;NULL
18365;2022-07-25 05:46:00.000;Ремонт у-ка.;1;NULL
12913;2022-07-25 05:47:00.000;Проведение ремонтных работ.;1;NULL
12907;2022-07-25 05:52:00.000;Проведение ремонтных работ.;1;NULL
11347;2022-07-25 09:50:00.000;Врезка КЗПОУ;1;NULL
36274;2022-07-27 08:29:00.000;Включен после ремонта;0;NULL
6592;2022-07-27 08:33:00.000;Газоснабжение через перемычку 144км;0;NULL
6599;2022-07-27 08:36:00.000;Газоснабжение через перемычку 144км;0;NULL
6030;2022-07-27 08:39:00.000;Подготовка к ремонтным работам;1;NULL
12907;2022-07-28 07:07:00.000;Участок в работе - ВТД.;0;NULL
11347;2022-07-28 07:23:00.000;Введён в работу после проведения О.Р.;1;NULL
11347;2022-07-28 07:27:00.000;Участок в работе после проведения О.Р.;0;NULL
9805;2022-07-28 12:26:00.000;РРД;2;43.90
9876;2022-07-28 12:29:00.000;РРД;2;36.30
10064;2022-07-28 12:29:00.000;РРД;2;53.70
9967;2022-07-28 12:30:00.000;РРД;2;42.00
10121;2022-07-28 12:30:00.000;РРД;2;NULL
12913;2022-07-30 13:07:00.000;окончание работ;0;NULL
18364;2022-07-30 13:07:00.000;окончание работ;0;NULL
18365;2022-07-30 13:08:00.000;окончание работ;0;NULL
9805;2022-08-01 08:13:00.000;откр перем;2;43.90
9876;2022-08-01 08:15:00.000;откр перем;2;36.30
